epoch,accuracy,loss,val_accuracy,val_loss
0,0.7824236750602722,0.6867712736129761,0.8201696872711182,0.5728585124015808
1,0.7824792861938477,0.6821555495262146,0.8201688528060913,0.5723966956138611
2,0.7825132012367249,0.677976131439209,0.820168137550354,0.5721537470817566
3,0.7825352549552917,0.6742447018623352,0.8201680183410645,0.5720796585083008
4,0.7825537323951721,0.6708980798721313,0.8201669454574585,0.5721333622932434
5,0.7825704216957092,0.6678823828697205,0.8201665878295898,0.5722789764404297
6,0.7825835943222046,0.6651511192321777,0.8201665878295898,0.5724883079528809
7,0.7825944423675537,0.6626647114753723,0.8201664090156555,0.5727375745773315
8,0.7826038002967834,0.6603882908821106,0.8201663494110107,0.5730067491531372
9,0.7826126217842102,0.6582927107810974,0.8201665878295898,0.5732800960540771
10,0.7826212644577026,0.6563530564308167,0.8201665878295898,0.5735473036766052
11,0.7826265692710876,0.6545475125312805,0.8201667070388794,0.5737977027893066
12,0.7826316356658936,0.652857780456543,0.8201669454574585,0.5740243792533875
13,0.7826378345489502,0.6512689590454102,0.8201669454574585,0.5742205381393433
14,0.7826425433158875,0.6497678160667419,0.8201677799224854,0.5743829607963562
15,0.7826472520828247,0.6483432054519653,0.8201680183410645,0.5745078921318054
16,0.7826522588729858,0.6469849944114685,0.820168137550354,0.5745936632156372
17,0.782656729221344,0.645685076713562,0.8201684951782227,0.574639081954956
18,0.7826600074768066,0.6444357633590698,0.8201685547828674,0.57464599609375
19,0.7826637625694275,0.6432304382324219,0.8201685547828674,0.5746139287948608
20,0.7826663255691528,0.6420632004737854,0.8201687335968018,0.5745443105697632
21,0.782668948173523,0.6409291625022888,0.8201685547828674,0.5744392275810242
22,0.7826718091964722,0.6398240923881531,0.8201696872711182,0.5742989778518677
23,0.7826749086380005,0.6387447118759155,0.8201699256896973,0.5741268396377563
24,0.7826773524284363,0.6376879215240479,0.8201696872711182,0.5739226341247559
25,0.7826790809631348,0.6366510987281799,0.8201699256896973,0.5736897587776184
26,0.7826816439628601,0.6356320381164551,0.8201700448989868,0.5734286308288574
27,0.7826839685440063,0.6346288323402405,0.8201700448989868,0.5731419324874878
28,0.7826869487762451,0.6336399912834167,0.8201699256896973,0.5728309154510498
29,0.7826886773109436,0.6326642036437988,0.8201700448989868,0.5724965929985046
30,0.7826908826828003,0.6317002177238464,0.8201705813407898,0.5721405148506165
31,0.782693088054657,0.6307476162910461,0.8201716542243958,0.5717639923095703
32,0.7826948165893555,0.6298049688339233,0.8201720714569092,0.5713686347007751
33,0.7826966643333435,0.6288719177246094,0.8201721906661987,0.5709548592567444
34,0.7826976776123047,0.6279473900794983,0.8201720714569092,0.5705247521400452
35,0.7826992869377136,0.6270306706428528,0.8201717138290405,0.5700798630714417
36,0.782700777053833,0.6261213421821594,0.8201717138290405,0.5696196556091309
37,0.7827017903327942,0.6252185702323914,0.8201720714569092,0.5691470503807068
38,0.7827023863792419,0.6243217587471008,0.8201720714569092,0.5686619877815247
39,0.7827033400535583,0.6234302520751953,0.8201720714569092,0.5681664347648621
40,0.7827040553092957,0.6225435733795166,0.8201721906661987,0.5676607489585876
41,0.782704770565033,0.6216610670089722,0.8201721906661987,0.5671469569206238
42,0.7827051281929016,0.6207823753356934,0.8201723694801331,0.5666242241859436
43,0.7827057838439941,0.619907021522522,0.8201724886894226,0.5660938620567322
44,0.7827061414718628,0.6190347075462341,0.8201732635498047,0.5655575394630432
45,0.7827062010765076,0.618165135383606,0.8201732635498047,0.5650144219398499
46,0.7827063798904419,0.6172980070114136,0.8201732635498047,0.5644661784172058
47,0.782706618309021,0.6164329648017883,0.8201732635498047,0.5639123916625977
48,0.782706618309021,0.6155698299407959,0.8201732635498047,0.5633533000946045
49,0.7827066779136658,0.614708423614502,0.8201732635498047,0.5627905130386353
